time,center_ci,center_cs,center_cv,center_xi,center_xv
1.6e-06,1.5987222863851e-08,1,1.5989781904443e-08,0.043753614693982,0.043760618241563
1.61e-06,1.6086998118655e-08,1,1.6089589233234e-08,0.044026678258045,0.044033769585282
1.62e-06,1.6186770768945e-08,1,1.6189394157059e-08,0.044299734694111,0.044306914347119
1.63e-06,1.6286540799871e-08,1,1.6289196661061e-08,0.044572783961537,0.044580052486418
1.64e-06,1.6386308196584e-08,1,1.6388996730385e-08,0.044845826019682,0.044853183962524
1.65e-06,1.6486072944235e-08,1,1.6488794350179e-08,0.045118860827913,0.045126308734788
1.66e-06,1.6585835027979e-08,1,1.658858950559e-08,0.045391888345597,0.045399426762565
1.67e-06,1.668559443297e-08,1,1.6688382181769e-08,0.045664908532109,0.045672538005212
1.68e-06,1.6785351144366e-08,1,1.6788172363868e-08,0.045937921346825,0.045945642422093
1.69e-06,1.6885105147325e-08,1,1.6887960037038e-08,0.046210926749128,0.046218739972574
1.7e-06,1.6984856427007e-08,1,1.6987745186436e-08,0.046483924698403,0.046491830616028
1.71e-06,1.7084604968573e-08,1,1.7087527797217e-08,0.046756915154041,0.046764914311828
1.72e-06,1.7184350757188e-08,1,1.7187307854538e-08,0.047029898075437,0.047037991019356
1.73e-06,1.7284093778015e-08,1,1.7287085343559e-08,0.047302873421989,0.047311060697995
1.74e-06,1.738383401622e-08,1,1.7386860249441e-08,0.047575841153102,0.047584123307133
1.75e-06,1.7483571456973e-08,1,1.7486632557345e-08,0.047848801228183,0.047857178806164
1.76e-06,1.7583306085442e-08,1,1.7586402252437e-08,0.048121753606645,0.048130227154483
1.77e-06,1.7683037886799e-08,1,1.7686169319882e-08,0.048394698247904,0.048403268311494
1.78e-06,1.7782766846217e-08,1,1.7785933744847e-08,0.048667635111383,0.0486763022366
1.79e-06,1.7882492948869e-08,1,1.78856955125e-08,0.048940564156506,0.048949328889214
1.8e-06,1.7982216179934e-08,1,1.7985454608013e-08,0.049213485342704,0.049222348228749
1.81e-06,1.8081936524587e-08,1,1.8085211016557e-08,0.049486398629413,0.049495360214625
1.82e-06,1.8181653968009e-08,1,1.8184964723307e-08,0.049759303976071,0.049768364806265
