time,average_xi,average_xv,left_xi,left_xs,left_xv
10577.355289377,6.6011985335182e-05,0.00015031017169935,6.6117022005369e-05,1,0.00015054920579019
12693.826347253,6.2058817007335e-05,0.00015990336460476,6.2157562167352e-05,1,0.00016015766174502
15233.591616703,5.800770135311e-05,0.00017109426938882,5.8099999464512e-05,1,0.00017136637181795
18281.309940044,5.3927743618844e-05,0.00018406829339656,5.4013549130727e-05,1,0.00018436103837552
21329.028263385,5.0509238276301e-05,0.00019655704066791,5.058960405795e-05,1,0.0001968696562665
24986.290251394,4.7071950583282e-05,0.00021094642855526,4.7146848723409e-05,1,0.00021128194121888
29375.004637004,4.366853892711e-05,0.00022742935507173,4.3738019856855e-05,1,0.00022779109197925
33763.719022615,4.0855844980986e-05,0.00024312794820912,4.0920852104693e-05,1,0.0002435146652202
39030.176285348,3.8057736757132e-05,0.00026104992036703,3.8118290295731e-05,1,0.0002614651517669
44296.63354808,3.5732727395363e-05,0.00027807963027392,3.5789582944609e-05,1,0.00027852195959001
50616.38226336,3.3406750089476e-05,0.00029749014720432,3.345990363106e-05,1,0.00029796335978368
56936.130978639,3.1462976401408e-05,0.00031591464515567,3.1513038368164e-05,1,0.00031641717486004
64519.829436974,2.9507567042233e-05,0.00033690013294039,2.9554518285448e-05,1,0.00033743605449797
73620.267586976,2.7565301088464e-05,0.00036069349598709,2.7609161111624e-05,1,0.00036126727547819
82720.705736978,2.5951713774957e-05,0.00038317078126766,2.5993007209945e-05,1,0.00038378032672299
93641.231516981,2.433596592373e-05,0.00040866578931838,2.4374687821475e-05,1,0.00040931590062678
104561.75729698,2.2983298708053e-05,0.0004327676177977,2.3019869029631e-05,1,0.00043345608000309
117666.38823299,2.1619292743604e-05,0.00046012618503411,2.1653692219835e-05,1,0.00046085817867413
130771.01916899,2.0469980820452e-05,0.00048600990173071,2.0502552157335e-05,1,0.00048678308163068
146496.57629219,1.9304269045662e-05,0.00051541181221438,1.9334985148122e-05,1,0.0005162317752106
162222.1334154,1.8316792591125e-05,0.00054324680379889,1.8345937945986e-05,1,0.00054411105800234
181092.80196324,1.731041573183e-05,0.00057488240002348,1.7337959451736e-05,1,0.00057579699187378
199963.47051109,1.6454174293875e-05,0.00060484597768353,1.6480355984832e-05,1,0.0006058082478713
222608.2727685,1.5578108795899e-05,0.00063891269765376,1.560289625773e-05,1,0.0006399291742217
245253.07502591,1.483006396303e-05,0.00067118724553316,1.4853661038994e-05,1,0.00067225507666954
267897.87728333,1.4182075612976e-05,0.00070189718639373,1.4204641918065e-05,1,0.00070301388333131
295071.63999222,1.3508188689427e-05,0.00073695998548651,1.3529682545905e-05,1,0.00073813247382798
322245.40270112,1.2924150362317e-05,0.00077030588819184,1.2944715168546e-05,1,0.00077153143692055
354853.91795179,1.2316595445466e-05,0.0008083506291245,1.2336193374353e-05,1,0.00080963671449726
387462.43320247,1.1789939380861e-05,0.00084450236831741,1.180869923682e-05,1,0.00084584597806053
420070.94845314,1.132796842535e-05,0.00087898159219358,1.1345993388418e-05,1,0.00088038006566044
459201.16675395,1.0842031970923e-05,0.00091842042029813,1.0859283612072e-05,1,0.00091988164880579
498331.38505476,1.0416461805672e-05,0.00095598247970866,1.0433036451887e-05,1,0.00095750347765779
545287.64701574,9.9695491616711e-06,0.00099888044411677,9.9854125979353e-06,1,0.00100046970172
592243.90897671,9.578786517367e-06,0.0010396689764875,9.5940281216745e-06,1,0.0010413231370138
639200.17093768,9.2335442687086e-06,0.0010785786127915,9.248236648447e-06,1,0.0010802946870796
695547.68529085,8.8680127109999e-06,0.001123076834132,8.8821233949137e-06,1,0.0011248637145384
751895.19964401,8.5459758819995e-06,0.0011654343927559,8.5595741068335e-06,1,0.0011672886728773
808242.71399718,8.2596281728887e-06,0.0012058720185796,8.2727708595061e-06,1,0.0012077906439043
875859.73122098,7.9546649984701e-06,0.0012521398696326,7.967322380498e-06,1,0.0012541321170959
943476.74844478,7.6845275939028e-06,0.001296191353065,7.6967551072269e-06,1,0.0012982536958096
1011093.7656686,7.4432281893508e-06,0.0013382439820627,7.4550718242845e-06,1,0.0013403732399522
1092234.1863371,7.1851641816937e-06,0.0013863439690365,7.196597149094e-06,1,0.0013885497645828
1173374.6070057,6.9556911772752e-06,0.0014321128774663,6.9667589855468e-06,1,0.0014343915012789
1254515.0276743,6.7500584407694e-06,0.001475770567626,6.7607991068397e-06,1,0.0014781186607328
1351883.5324765,6.5295014449682e-06,0.0015256532379481,6.5398911332473e-06,1,0.0015280807055633
1449252.0372788,6.3328686434074e-06,0.0015730547450622,6.3429454306763e-06,1,0.0015755576389686
