time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
1605397792049.1,3.6105638502876e-13,6.8227221444666e-07,-5.5677171601775e-25,-7.6656481726514e-25,-8.3101763199602e-25,-1.2265037076242e-24,1.8052819251438e-11,3.4113610722333e-05
1608732639804,3.6035664971727e-13,6.8359706357205e-07,-1.0864823475428e-25,-1.5331296345303e-25,-5.4526065768876e-26,-7.6656481726514e-26,1.8017832485863e-11,3.4179853178602e-05
1612451271309.8,3.5957979922758e-13,6.8507396131318e-07,-1.3995023547345e-25,-1.5331296345303e-25,-1.3591126763872e-25,-7.6656481726514e-26,1.7978989961379e-11,3.4253698065659e-05
1617344019117.7,3.5856310349861e-13,6.8701650074894e-07,1.6418404248184e-25,-4.5993889035909e-25,1.9063928179933e-25,7.6656481726514e-26,1.7928155174931e-11,3.4350825037447e-05
1621046589210.3,3.5779780233041e-13,6.8848600301293e-07,1.4944180988507e-26,0,-1.0501316370302e-26,0,1.788989011652e-11,3.4424300150646e-05
1624870881137,3.5701100018518e-13,6.9000335606665e-07,-4.8184886268348e-25,6.1325185381211e-25,-2.5990758016498e-25,5.365953720856e-25,1.7850550009259e-11,3.4500167803333e-05
1628200921371.7,3.5632889246489e-13,6.9132422648045e-07,-3.8168246038213e-26,-2.2996944517954e-25,8.0779356694632e-27,-2.2996944517954e-25,1.7816444623245e-11,3.4566211324022e-05
1632402346498.4,3.554722656847e-13,6.9299022996825e-07,1.1713006720722e-26,-1.5331296345303e-25,-1.3894049351477e-25,-7.6656481726514e-26,1.7773613284235e-11,3.4649511498412e-05
1636847137791.4,3.5457080164841e-13,6.9475212396924e-07,-2.2537440517802e-25,6.1325185381211e-25,-7.9284938595781e-25,9.9653426244468e-25,1.7728540082421e-11,3.4737606198462e-05
1640545812205.9,3.5382438363331e-13,6.9621778105646e-07,1.7105028780088e-25,1.5331296345303e-25,-6.6844917664808e-26,7.6656481726514e-26,1.7691219181666e-11,3.4810889052823e-05
1643687495843,3.5319300523997e-13,6.9746237969399e-07,-1.1612032524853e-25,3.8328240863257e-25,1.2803528036099e-25,0,1.7659650261999e-11,3.4873118984699e-05
1647332867483.1,3.5246342016801e-13,6.9890612389341e-07,0,0,0,0,1.76231710084e-11,3.4945306194671e-05
1650036125532.4,3.519244708587e-13,6.9997647222329e-07,-5.0487097934145e-27,-1.5331296345303e-25,-1.6378014569837e-25,-1.5331296345303e-25,1.7596223542935e-11,3.4998823611164e-05
1652647679842,3.5140547875303e-13,7.0101028973916e-07,1.0481121531128e-25,-7.6656481726514e-26,-9.4309898940982e-26,-7.6656481726514e-26,1.7570273937652e-11,3.5050514486958e-05
1655515640019.5,3.5083741536807e-13,7.0214535904157e-07,5.9574775562291e-26,0,-5.0285149542408e-26,0,1.7541870768403e-11,3.5107267952079e-05
1657581166159.1,3.5042950824481e-13,7.0296268229558e-07,-2.4031858616653e-26,-7.6656481726514e-26,2.5243548967072e-26,0,1.752147541224e-11,3.5148134114779e-05
1659678177907.3,3.5001642267743e-13,7.0379232556606e-07,-1.076384927956e-25,7.6656481726514e-26,-2.4233807008389e-26,7.6656481726514e-26,1.7500821133872e-11,3.5189616278303e-05
1662683155827.2,3.4942629446235e-13,7.049809447522e-07,-9.2896260198826e-27,-7.6656481726514e-26,1.0501316370302e-26,-7.6656481726514e-26,1.7471314723117e-11,3.524904723761e-05
1665194500332.1,3.4893474120104e-13,7.0597408711063e-07,1.8175355256292e-27,-7.6656481726514e-26,-2.5849394142282e-26,0,1.7446737060052e-11,3.5298704355532e-05
1667256752791.1,3.4853219651101e-13,7.0678948058274e-07,-2.881803550081e-25,-2.2996944517954e-25,-2.6899525779312e-25,-7.6656481726514e-26,1.742660982555e-11,3.5339474029137e-05
1669152101512.4,3.4816310694363e-13,7.0753876286743e-07,5.4122168985403e-26,-7.6656481726514e-26,5.371827220193e-26,7.6656481726514e-26,1.7408155347182e-11,3.5376938143371e-05
1671614885387.9,3.4768477021125e-13,7.0851219700314e-07,6.7854659623491e-26,1.5331296345303e-25,2.5243548967072e-26,1.5331296345303e-25,1.7384238510563e-11,3.5425609850157e-05
1675184217156.8,3.4699400647969e-13,7.0992266080848e-07,6.4623485355705e-26,1.5331296345303e-25,-1.4338335813297e-26,-2.2996944517954e-25,1.7349700323984e-11,3.5496133040424e-05
1677611752633.5,3.4652589104474e-13,7.1088169909034e-07,2.0194839173658e-28,0,0,0,1.7326294552237e-11,3.5544084954517e-05
1679402269325.4,3.4618148298004e-13,7.1158895261789e-07,1.4237361617429e-25,7.6656481726514e-26,8.7039756838466e-26,2.2996944517954e-25,1.7309074149002e-11,3.5579447630895e-05
1682631755077.9,3.4556213803957e-13,7.1286434120674e-07,1.2116903504195e-27,0,-2.2618219874497e-26,0,1.7278106901979e-11,3.5643217060337e-05
1686168129417.6,3.4488665868308e-13,7.1426054671211e-07,-9.4511847332719e-26,-7.6656481726514e-26,1.6963664905873e-26,0,1.7244332934154e-11,3.5713027335606e-05
1690384812469,3.4408492957663e-13,7.1592482824758e-07,7.795207921032e-26,0,-2.1608477915814e-26,7.6656481726514e-26,1.7204246478832e-11,3.5796241412379e-05
1694933808190.1,3.4322448217897e-13,7.1771963784183e-07,3.5744865337374e-26,-2.2996944517954e-25,1.7650289437777e-25,0,1.7161224108948e-11,3.5885981892092e-05
