bias,size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
0.0,2000.0,1.6558332353936e-10,9.0204574445083e-07,3.5281827795616e-07,2.1150003418929598e-07,1.0,0.000181,2.38732414637843e-13,2130.759731201393,1295.398247120327,5.086814156427899e-10,3.092535514526649e-10,2.1307597312013932e-07,1.295398247120327e-07,50868141564.278984,30925355145.266487,-345.385067009
5.0,2000.0,2.7392741572829e-12,5.4420858702213e-05,1.38135611168292e-11,0.00040482175060567997,1.0,0.000181,2.38732414637843e-13,5.0427815266694385,41097.922944001526,1.2038754103529034e-12,9.811406381021494e-09,5.042781526669439e-10,4.109792294400153e-06,120387541.03529033,981140638102.1493,1470424.9889418
10.0,2000.0,1.382561438457e-12,0.00010779656767276,9.914255210278e-12,0.00079801543858544,1.0,0.000181,2.38732414637843e-13,7.170932831269147,40900.42169470491,1.7119341100146675e-12,9.764256430882923e-09,7.170932831269148e-10,4.090042169470492e-06,171193411.00146672,976425643088.2922,2913214.3030208
20.0,2000.0,6.9335659361198e-13,0.00021490772032803,7.2693616126288e-12,0.00158836729377064,1.0,0.000181,2.38732414637843e-13,10.484304439595363,40833.85137090608,2.5029433146628585e-12,9.748363936739205e-09,1.0484304439595363e-09,4.083385137090608e-06,250294331.46628582,974836393673.9204,5808213.2332058
30.0,2000.0,4.659207737322e-13,0.00031978720530692,6.142890444520399e-12,0.00235331043835204,1.0,0.000181,2.38732414637843e-13,13.184409862890517,40657.39627243131,3.1475460021428457e-12,9.706238385005164e-09,1.3184409862890518e-09,4.065739627243131e-06,314754600.21428454,970623838500.5162,8642827.8691622
40.0,2000.0,3.479302123893e-13,0.00042821222148143,5.433802166176e-12,0.00315856796201556,1.0,0.000181,2.38732414637843e-13,15.61750596150042,40752.34392767008,3.728404908809903e-12,9.728905468004517e-09,1.561750596150042e-09,4.0752343927670084e-06,372840490.88099027,972890546800.4515,11573251.330137
50.0,2000.0,2.8027820956343e-13,0.00053155417212496,4.981285780682001e-12,0.00390601554297536,1.0,0.000181,2.38732414637843e-13,17.77264735792699,40598.30117363174,4.242907018264791e-12,9.692130469375481e-09,1.777264735792699e-09,4.059830117363174e-06,424290701.8264791,969213046937.548,14366287.125042
0.0,3000.0,1.644612616017e-10,9.0793285882012e-07,2.8706493962655e-07,2.7476980812828e-07,1.0,0.000181,7.07355302630646e-14,1745.4866685978448,1672.0016502658043,1.2346792507037865e-10,1.1826992333227076e-10,1.745486668597845e-07,1.6720016502658043e-07,12346792507.037863,11826992333.227076,-18.726915822226
5.0,3000.0,1.2731703493483e-12,0.00011705255793795,2.26451306666754e-11,0.0012786927237189,1.0,0.000181,7.07355302630646e-14,17.786410654526165,60354.09057249996,1.2581311891245301e-12,4.269178600190812e-09,1.7786410654526165e-09,6.035409057249997e-06,125813118.912453,426917860019.0812,3163392.5364222
10.0,3000.0,6.20872630984e-13,0.00023999988292416,1.67027577489342e-11,0.00265812765599547,1.0,0.000181,7.07355302630646e-14,26.90206801749751,61190.8138276543,1.902932046390717e-12,4.328364663327592e-09,2.690206801749751e-09,6.119081382765431e-06,190293204.6390717,432836466332.7592,6486390.6132062
20.0,3000.0,3.105015317427e-13,0.00047985843707395,1.2687166168267498e-11,0.00531393291575541,1.0,0.000181,7.07355302630646e-14,40.86023697551623,61182.09689077416,2.890270529137619e-12,4.3277480661751065e-09,4.086023697551623e-09,6.118209689077416e-06,289027052.91376185,432774806617.5106,12969100.583672
30.0,3000.0,2.0681304520286e-13,0.00072041488372487,1.08444698835192e-11,0.00798162370915356,1.0,0.000181,7.07355302630646e-14,52.43610175983828,61211.07372304158,3.709095462910175e-12,4.329797757770886e-09,5.243610175983828e-09,6.121107372304158e-06,370909546.2910175,432979775777.08856,19470641.651658
40.0,3000.0,1.5513872863662e-13,0.00096035261484052,9.7226697362769e-12,0.010638755141488201,1.0,0.000181,7.07355302630646e-14,62.67080967931753,61204.24082477796,4.433052954682127e-12,4.329314429088975e-09,6.267080967931753e-09,6.120424082477797e-06,443305295.4682126,432931442908.8974,25955452.911364
