"K0","K0_dist","source_i","source_v","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.037e-15,8.7448e-16,8.7354e-16,9.1722e-16,1,710,710,0,0
9.037e-15,8.9353e-16,8.9257e-16,9.372e-16,1,712.5,712.5,0,0
9.037e-15,9.1291e-16,9.1193e-16,9.5753e-16,1,715,715,0,0
9.037e-15,9.3261e-16,9.3162e-16,9.782e-16,1,717.5,717.5,0,0
9.037e-15,9.5264e-16,9.5163e-16,9.9921e-16,1,720,720,0,0
9.037e-15,9.73e-16,9.7197e-16,1.0206e-15,1,722.5,722.5,0,0
9.037e-15,9.937e-16,9.9266e-16,1.0423e-15,1,725,725,0,0
9.037e-15,1.0147e-15,1.0137e-15,1.0644e-15,1,727.5,727.5,0,0
9.037e-15,1.0361e-15,1.035e-15,1.0868e-15,1,730,730,0,0
9.037e-15,1.0578e-15,1.0567e-15,1.1096e-15,1,732.5,732.5,0,0
9.037e-15,1.0799e-15,1.0788e-15,1.1327e-15,1,735,735,0,0
9.037e-15,1.1023e-15,1.1012e-15,1.1563e-15,1,737.5,737.5,0,0
9.037e-15,1.1251e-15,1.124e-15,1.1802e-15,1,740,740,0,0
9.037e-15,1.1482e-15,1.1471e-15,1.2044e-15,1,742.5,742.5,0,0
9.037e-15,1.1717e-15,1.1705e-15,1.2291e-15,1,745,745,0,0
9.037e-15,1.1956e-15,1.1944e-15,1.2541e-15,1,747.5,747.5,0,0
9.037e-15,1.2198e-15,1.2186e-15,1.2795e-15,1,750,750,0,0
9.037e-15,1.2444e-15,1.2431e-15,1.3053e-15,1,752.5,752.5,0,0
9.037e-15,1.2693e-15,1.2681e-15,1.3315e-15,1,755,755,0,0
9.037e-15,1.2946e-15,1.2934e-15,1.358e-15,1,757.5,757.5,0,0
9.037e-15,1.3203e-15,1.319e-15,1.385e-15,1,760,760,0,0
9.037e-15,1.3464e-15,1.3451e-15,1.4123e-15,1,762.5,762.5,0,0
9.037e-15,1.3728e-15,1.3715e-15,1.4401e-15,1,765,765,0,0
9.037e-15,1.3997e-15,1.3983e-15,1.4682e-15,1,767.5,767.5,0,0
