x,y,z,id,mat_therm_cond,cv,ci,jvx,jix,T,jx,jy,dTdx,dTdy,gr0
589,433,0,589,1,6.3470040162124e-05,4.7346341645983e-05,1.3636225170917e-16,5.994809200716e-10,293.24656109262,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,1.8850718526207e-50
589.2,433,0,589.2,1,6.3470040154568e-05,4.7346221700434e-05,1.3636225170917e-16,5.994809200716e-10,293.34538778703,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,1.247336092613e-50
589.4,433,0,589.4,1,6.3470040147013e-05,4.7346101754885e-05,1.3636225170917e-16,5.994809200716e-10,293.44421448144,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,6.096003326057e-51
589.6,433,0,589.6,1,6.3470040139457e-05,4.7345981809336e-05,1.3636225170917e-16,5.994809200716e-10,293.54304117585,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-2.8135427401992e-52
589.8,433,0,589.8,1,6.3470040131901e-05,4.7345861863788e-05,1.3636225170917e-16,5.994809200716e-10,293.64186787026,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-6.6587118740969e-51
590,433,0,590,1,6.3470040124346e-05,4.7345741918239e-05,1.3636225170917e-16,5.994809200716e-10,293.74069456467,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-1.303606947417e-50
590.2,433,0,590.2,1,6.347004011679e-05,4.734562197269e-05,1.3636225170917e-16,5.994809200716e-10,293.83952125908,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-1.9413427074247e-50
590.4,433,0,590.4,1,6.3470040109234e-05,4.7345502027141e-05,1.3636225170917e-16,5.994809200716e-10,293.93834795349,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-2.579078467432e-50
590.6,433,0,590.6,1,6.3470040101679e-05,4.7345382081592e-05,1.3636225170917e-16,5.994809200716e-10,294.0371746479,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-3.2168142274397e-50
590.8,433,0,590.8,1,6.3470040094123e-05,4.7345262136044e-05,1.3636225170917e-16,5.994809200716e-10,294.13600134232,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-3.8545499874474e-50
591,433,0,591,1,6.3470040086567e-05,4.7345142190495e-05,1.3636225170917e-16,5.994809200716e-10,294.23482803673,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-4.4922857474548e-50
591.2,433,0,591.2,1,6.3470040079012e-05,4.7345022244946e-05,1.3636225170917e-16,5.994809200716e-10,294.33365473114,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-5.1300215074625e-50
591.4,433,0,591.4,1,6.3470040071456e-05,4.7344902299397e-05,1.3636225170917e-16,5.994809200716e-10,294.43248142555,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-5.7677572674698e-50
591.6,433,0,591.6,1,6.34700400639e-05,4.7344782353849e-05,1.3636225170917e-16,5.994809200716e-10,294.53130811996,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-6.4054930274775e-50
591.8,433,0,591.8,1,6.3470040056345e-05,4.73446624083e-05,1.3636225170917e-16,5.994809200716e-10,294.63013481437,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-7.0432287874852e-50
592,433,0,592,1,6.3470040048789e-05,4.7344542462751e-05,1.3636225170917e-16,5.994809200716e-10,294.72896150878,-0.49413165112276,-4.5079259080816e-05,0.49413165112276,4.5079259080816e-05,-7.6809645474925e-50
592.2,433,0,592.2,1,6.3470039974621e-05,4.7344211449448e-05,4.3431131752267e-16,1.6537699267962e-09,294.82779107414,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-7.3372950381467e-50
592.4,433,0,592.4,1,6.3470039900453e-05,4.7343880436144e-05,4.3431131752267e-16,1.6537699267962e-09,294.92662063951,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-6.9936255288011e-50
592.6,433,0,592.6,1,6.3470039826285e-05,4.7343549422841e-05,4.3431131752267e-16,1.6537699267962e-09,295.02545020487,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-6.6499560194553e-50
592.8,433,0,592.8,1,6.3470039752117e-05,4.7343218409538e-05,4.3431131752267e-16,1.6537699267962e-09,295.12427977023,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-6.3062865101095e-50
593,433,0,593,1,6.3470039677949e-05,4.7342887396234e-05,4.3431131752267e-16,1.6537699267962e-09,295.22310933559,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-5.9626170007639e-50
593.2,433,0,593.2,1,6.3470039603781e-05,4.7342556382931e-05,4.3431131752267e-16,1.6537699267962e-09,295.32193890095,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-5.6189474914181e-50
