time,T_cold,T_hot,average_ci,average_cv,jx,k_x_direct,left_jix,left_jvx,left_jx,left_jy,right_jix,right_jvx,right_jy,tot_ci,tot_cv
5972210.2519895,5,15,1.5130681413009e-05,0.0009579614353601,0.038585611827551,0.98779166278558,7.1510507563496e-10,-7.6883455597192e-11,0.038585611827559,-2.2985086056693e-16,-8.9839123744949e-11,9.6765684394142e-12,1.2836953722228e-16,0.99160433708297,62.780960627759
6066422.7896888,5,15,1.5066993753373e-05,0.00096481658357735,0.038585611827562,0.9877916627853,6.9710430348097e-10,-7.6025054486329e-11,0.038585611827553,-8.4134088584875e-17,-8.6545493472597e-11,9.4372911011255e-12,4.8572257327351e-17,0.98743050262104,63.230219621325
6160635.3273881,5,15,1.5002535602088e-05,0.00097185749645414,0.03858561182756,0.98779166278558,6.7677586743026e-10,-7.4921537175025e-11,0.038585611827563,2.8709673527416e-16,-8.3557051026718e-11,9.2503311692613e-12,5.1174342541316e-17,0.98320617321847,63.691652887619
6273690.3726272,5,15,1.4926335768643e-05,0.00098031773073206,0.038585611827561,0.98779166278554,6.6702897853817e-10,-7.514241796541e-11,0.03858561182756,-9.4542429440736e-17,-8.00754182295e-11,9.0269049404545e-12,1.6566609195579e-16,0.97821234093378,64.246102801256
6375439.9133425,5,15,1.4862650576773e-05,0.00098750496145561,0.038585611827568,0.98779166278556,6.8863112030181e-10,-7.8697917184693e-11,0.038585611827553,-8.0664641632922e-17,-8.4889562409854e-11,9.695071824626e-12,7.6327832942979e-17,0.97403866819939,64.717125153955
6477189.4540577,5,15,1.4798234485751e-05,0.00099488496814543,0.038585611827562,0.98779166278574,6.8338547957107e-10,-7.9356793338154e-11,0.038585611827558,-6.6786853825107e-17,-8.5033722004758e-11,9.8742989107826e-12,8.4567769453869e-17,0.96981709525817,65.200781272379
6599288.902916,5,15,1.4722138852529e-05,0.0010037495962005,0.038585611827562,0.98779166278558,6.6744465636652e-10,-7.8925140827152e-11,0.038585611827562,1.4137996329211e-16,-8.3493116031645e-11,9.873400126188e-12,2.0816681711722e-17,0.96483009183936,65.781733536598
6745808.2415459,5,15,1.4633361147044e-05,0.0010142978510865,0.038585611827563,0.98779166278558,6.4730192975152e-10,-7.8193393766599e-11,0.038585611827559,8.9338259012806e-17,-8.1535546336908e-11,9.848947161088e-12,1.2273168592536e-16,0.95901195613267,66.473023968804
6877675.6463128,5,15,1.4559807680249e-05,0.0010232104986492,0.038585611827561,0.98779166278562,6.2851231906818e-10,-7.7293872564929e-11,0.038585611827557,1.8648277366751e-16,-7.9407281739597e-11,9.7651193876157e-12,1.049507702966e-16,0.95419155613281,67.057123239474
7009543.0510798,5,15,1.4485831415943e-05,0.0010323372738625,0.038585611827562,0.98779166278556,6.1299051378887e-10,-7.6762140659136e-11,0.038585611827561,2.6020852139652e-18,-7.8078104395943e-11,9.7766298170886e-12,1.4051260155412e-16,0.94934344767527,67.655255579855
