x,y,z,id,mat_therm_cond,cv,ci,jvx,jix,T,jx,jy,dTdx,dTdy,gr0
705.8,433,0,705.8,1,4.9752633588041e-07,4.9752386312892e-07,-1.3074565654523e-21,-6.87191874407e-19,353.62249309747,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-8.693780047292e-61
706,433,0,706,1,4.9752633588038e-07,4.9752386312785e-07,-1.3074565654523e-21,-6.87191874407e-19,353.72189128852,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-2.4854393382856e-60
706.2,433,0,706.2,1,4.9752633588035e-07,4.9752386312679e-07,-1.3074565654523e-21,-6.87191874407e-19,353.82128947958,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-4.1015006718429e-60
706.4,433,0,706.4,1,4.9752633588032e-07,4.9752386312572e-07,-1.3074565654523e-21,-6.87191874407e-19,353.92068767063,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-5.7175620054003e-60
706.6,433,0,706.6,1,4.9752633588029e-07,4.9752386312465e-07,-1.3074565654523e-21,-6.87191874407e-19,354.02008586168,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-7.3336233389567e-60
706.8,433,0,706.8,1,4.9752633588026e-07,4.9752386312358e-07,-1.3074565654523e-21,-6.87191874407e-19,354.11948405273,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-8.949684672514e-60
707,433,0,707,1,4.9752633588022e-07,4.9752386312251e-07,-1.3074565654523e-21,-6.87191874407e-19,354.21888224379,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-1.056574600607e-59
707.2,433,0,707.2,1,4.9752633588019e-07,4.9752386312144e-07,-1.3074565654523e-21,-6.87191874407e-19,354.31828043484,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-1.2181807339628e-59
707.4,433,0,707.4,1,4.9752633588016e-07,4.9752386312037e-07,-1.3074565654523e-21,-6.87191874407e-19,354.41767862589,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-1.3797868673185e-59
707.6,433,0,707.6,1,4.9752633588013e-07,4.975238631193e-07,-1.3074565654523e-21,-6.87191874407e-19,354.51707681694,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-1.5413930006742e-59
707.8,433,0,707.8,1,4.975263358801e-07,4.9752386311823e-07,-1.3074565654523e-21,-6.87191874407e-19,354.616475008,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-1.7029991340299e-59
708,433,0,708,1,4.9752633588007e-07,4.9752386311716e-07,-1.3074565654523e-21,-6.87191874407e-19,354.71587319905,-0.49698775550821,1.6618712628258e-06,0.49698775550821,-1.6618712628258e-06,-1.8646052673855e-59
708.2,433,0,708.2,1,4.9752633588002e-07,4.9752386311678e-07,1.9730573715105e-21,-6.0406253895114e-18,354.81527137184,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-2.5096006738742e-58
708.4,433,0,708.4,1,4.9752633587998e-07,4.9752386311641e-07,1.9730573715105e-21,-6.0406253895114e-18,354.91466954464,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-4.8327408210099e-58
708.6,433,0,708.6,1,4.9752633587994e-07,4.9752386311604e-07,1.9730573715105e-21,-6.0406253895114e-18,355.01406771744,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-7.1558809681442e-58
708.8,433,0,708.8,1,4.975263358799e-07,4.9752386311567e-07,1.9730573715105e-21,-6.0406253895114e-18,355.11346589023,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-9.4790211152799e-58
709,433,0,709,1,4.9752633587986e-07,4.975238631153e-07,1.9730573715105e-21,-6.0406253895114e-18,355.21286406303,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-1.1802161262414e-57
709.2,433,0,709.2,1,4.9752633587982e-07,4.9752386311493e-07,1.9730573715105e-21,-6.0406253895114e-18,355.31226223583,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-1.412530140955e-57
709.4,433,0,709.4,1,4.9752633587978e-07,4.9752386311456e-07,1.9730573715105e-21,-6.0406253895114e-18,355.41166040862,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-1.6448441556686e-57
709.6,433,0,709.6,1,4.9752633587974e-07,4.9752386311419e-07,1.9730573715105e-21,-6.0406253895114e-18,355.51105858142,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-1.877158170382e-57
709.8,433,0,709.8,1,4.975263358797e-07,4.9752386311382e-07,1.9730573715105e-21,-6.0406253895114e-18,355.61045675421,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-2.1094721850956e-57
710,433,0,710,1,4.9752633587966e-07,4.9752386311345e-07,1.9730573715105e-21,-6.0406253895114e-18,355.70985492701,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-2.341786199809e-57
710.2,433,0,710.2,1,4.9752633587962e-07,4.9752386311307e-07,1.9730573715105e-21,-6.0406253895114e-18,355.80925309981,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-2.5741002145226e-57
710.4,433,0,710.4,1,4.9752633587958e-07,4.975238631127e-07,1.9730573715105e-21,-6.0406253895114e-18,355.9086512726,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-2.8064142292361e-57
710.6,433,0,710.6,1,4.9752633587954e-07,4.9752386311233e-07,1.9730573715105e-21,-6.0406253895114e-18,356.0080494454,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-3.0387282439496e-57
710.8,433,0,710.8,1,4.975263358795e-07,4.9752386311196e-07,1.9730573715105e-21,-6.0406253895114e-18,356.1074476182,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-3.2710422586631e-57
711,433,0,711,1,4.9752633587946e-07,4.9752386311159e-07,1.9730573715105e-21,-6.0406253895114e-18,356.20684579099,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-3.5033562733766e-57
711.2,433,0,711.2,1,4.9752633587942e-07,4.9752386311122e-07,1.9730573715105e-21,-6.0406253895114e-18,356.30624396379,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-3.7356702880901e-57
711.4,433,0,711.4,1,4.9752633587938e-07,4.9752386311085e-07,1.9730573715105e-21,-6.0406253895114e-18,356.40564213658,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-3.9679843028037e-57
711.6,433,0,711.6,1,4.9752633587934e-07,4.9752386311048e-07,1.9730573715105e-21,-6.0406253895114e-18,356.50504030938,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-4.2002983175171e-57
711.8,433,0,711.8,1,4.975263358793e-07,4.9752386311011e-07,1.9730573715105e-21,-6.0406253895114e-18,356.60443848218,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-4.4326123322307e-57
712,433,0,712,1,4.9752633587926e-07,4.9752386310974e-07,1.9730573715105e-21,-6.0406253895114e-18,356.70383665497,-0.49698701729532,5.5527098163921e-07,0.49698701729532,-5.5527098163921e-07,-4.6649263469441e-57
712.2,433,0,712.2,1,4.9752633587957e-07,4.9752386310917e-07,4.4065565591925e-23,-1.2059300714288e-18,356.80323488239,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,-1.2183844462515e-57
712.4,433,0,712.4,1,4.9752633587988e-07,4.975238631086e-07,4.4065565591925e-23,-1.2059300714288e-18,356.90263310982,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,2.2281574544412e-57
712.6,433,0,712.6,1,4.9752633588019e-07,4.9752386310804e-07,4.4065565591925e-23,-1.2059300714288e-18,357.00203133724,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,5.6746993551319e-57
712.8,433,0,712.8,1,4.9752633588049e-07,4.9752386310747e-07,4.4065565591925e-23,-1.2059300714288e-18,357.10142956466,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,9.1212412558245e-57
713,433,0,713,1,4.975263358808e-07,4.975238631069e-07,4.4065565591925e-23,-1.2059300714288e-18,357.20082779208,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,1.2567783156515e-56
713.2,433,0,713.2,1,4.9752633588111e-07,4.9752386310634e-07,4.4065565591925e-23,-1.2059300714288e-18,357.3002260195,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,1.6014325057208e-56
713.4,433,0,713.4,1,4.9752633588142e-07,4.9752386310577e-07,4.4065565591925e-23,-1.2059300714288e-18,357.39962424692,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,1.9460866957901e-56
713.6,433,0,713.6,1,4.9752633588173e-07,4.975238631052e-07,4.4065565591925e-23,-1.2059300714288e-18,357.49902247434,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,2.2907408858591e-56
713.8,433,0,713.8,1,4.9752633588204e-07,4.9752386310464e-07,4.4065565591925e-23,-1.2059300714288e-18,357.59842070177,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,2.6353950759284e-56
714,433,0,714,1,4.9752633588234e-07,4.9752386310407e-07,4.4065565591925e-23,-1.2059300714288e-18,357.69781892919,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,2.9800492659975e-56
714.2,433,0,714.2,1,4.9752633588265e-07,4.9752386310351e-07,4.4065565591925e-23,-1.2059300714288e-18,357.79721715661,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,3.3247034560667e-56
714.4,433,0,714.4,1,4.9752633588296e-07,4.9752386310294e-07,4.4065565591925e-23,-1.2059300714288e-18,357.89661538403,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,3.669357646136e-56
714.6,433,0,714.6,1,4.9752633588327e-07,4.9752386310237e-07,4.4065565591925e-23,-1.2059300714288e-18,357.99601361145,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,4.0140118362051e-56
714.8,433,0,714.8,1,4.9752633588358e-07,4.9752386310181e-07,4.4065565591925e-23,-1.2059300714288e-18,358.09541183887,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,4.3586660262743e-56
715,433,0,715,1,4.9752633588389e-07,4.9752386310124e-07,4.4065565591925e-23,-1.2059300714288e-18,358.19481006629,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,4.7033202163434e-56
715.2,433,0,715.2,1,4.9752633588419e-07,4.9752386310067e-07,4.4065565591925e-23,-1.2059300714288e-18,358.29420829372,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,5.0479744064127e-56
715.4,433,0,715.4,1,4.975263358845e-07,4.9752386310011e-07,4.4065565591925e-23,-1.2059300714288e-18,358.39360652114,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,5.3926285964819e-56
715.6,433,0,715.6,1,4.9752633588481e-07,4.9752386309954e-07,4.4065565591925e-23,-1.2059300714288e-18,358.49300474856,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,5.737282786551e-56
715.8,433,0,715.8,1,4.9752633588512e-07,4.9752386309897e-07,4.4065565591925e-23,-1.2059300714288e-18,358.59240297598,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,6.0819369766203e-56
716,433,0,716,1,4.9752633588543e-07,4.9752386309841e-07,4.4065565591925e-23,-1.2059300714288e-18,358.6918012034,-0.49698665743256,-7.5233299856592e-07,0.49698665743256,7.5233299856592e-07,6.4265911666893e-56
716.2,433,0,716.2,1,4.9752633588337e-07,4.9752386310031e-07,-4.3876240493324e-21,1.116373046305e-17,358.79119957206,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,5.0134828687419e-56
716.4,433,0,716.4,1,4.9752633588131e-07,4.9752386310221e-07,-4.3876240493324e-21,1.116373046305e-17,358.89059794071,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,3.6003745707945e-56
716.6,433,0,716.6,1,4.9752633587925e-07,4.9752386310411e-07,-4.3876240493324e-21,1.116373046305e-17,358.98999630937,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,2.187266272848e-56
716.8,433,0,716.8,1,4.9752633587719e-07,4.9752386310601e-07,-4.3876240493324e-21,1.116373046305e-17,359.08939467802,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,7.7415797490056e-57
717,433,0,717,1,4.9752633587514e-07,4.9752386310791e-07,-4.3876240493324e-21,1.116373046305e-17,359.18879304668,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-6.3895032304602e-57
717.2,433,0,717.2,1,4.9752633587308e-07,4.9752386310981e-07,-4.3876240493324e-21,1.116373046305e-17,359.28819141533,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-2.0520586209934e-56
717.4,433,0,717.4,1,4.9752633587102e-07,4.9752386311171e-07,-4.3876240493324e-21,1.116373046305e-17,359.38758978399,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-3.4651669189408e-56
717.6,433,0,717.6,1,4.9752633586896e-07,4.9752386311361e-07,-4.3876240493324e-21,1.116373046305e-17,359.48698815264,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-4.8782752168874e-56
717.8,433,0,717.8,1,4.975263358669e-07,4.975238631155e-07,-4.3876240493324e-21,1.116373046305e-17,359.5863865213,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-6.2913835148348e-56
718,433,0,718,1,4.9752633586485e-07,4.975238631174e-07,-4.3876240493324e-21,1.116373046305e-17,359.68578488995,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-7.7044918127814e-56
718.2,433,0,718.2,1,4.9752633586279e-07,4.975238631193e-07,-4.3876240493324e-21,1.116373046305e-17,359.78518325861,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-9.1176001107288e-56
718.4,433,0,718.4,1,4.9752633586073e-07,4.975238631212e-07,-4.3876240493324e-21,1.116373046305e-17,359.88458162726,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-1.0530708408676e-55
718.6,433,0,718.6,1,4.9752633585867e-07,4.975238631231e-07,-4.3876240493324e-21,1.116373046305e-17,359.98397999592,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-1.1943816706623e-55
718.8,433,0,718.8,1,4.9752633585661e-07,4.97523863125e-07,-4.3876240493324e-21,1.116373046305e-17,360.08337836457,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-1.335692500457e-55
719,433,0,719,1,4.9752633585456e-07,4.975238631269e-07,-4.3876240493324e-21,1.116373046305e-17,360.18277673323,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-1.4770033302517e-55
719.2,433,0,719.2,1,4.975263358525e-07,4.975238631288e-07,-4.3876240493324e-21,1.116373046305e-17,360.28217510188,-0.49698674260532,-2.2568675901447e-06,0.49698674260532,2.2568675901447e-06,-1.6183141600464e-55
